Line.Total.Change,NIGP..,NIGP.Description,Item.Description,Order..,Order.Line.Number,Quantity.Ordered,Unit.Price,Line.Total,Z.Line.Total.Change,Order.Status,Shipping.Name,Shipping.Lines,Shipping.City,Shipping.State,Shipping.Postal,Requisition.Submitted.Date,Requisition.Approved.Date,Ordered.Date,SWAM.Minority,SWAM.Woman,SWAM.Small,SWAM.Micro.Business,PO.Category.Description,Procurement.Transaction.Desc,Order.Type,Vendor.Name,Vendor.Location.Name,Vendor.Address.Lines,Vendor.Address.City,Vendor.Address.State,Vendor.Address.Postal
0,62546,"Optical Components: Blanks, Domes, Filters, Lenses, Mirrors, Prisms, etc. (See Class 490 for Microscopes)",FT28 CR-39 R 6.00/+2.25 ADD,A711_P098952554,18,5,3.34,16.7,16.7,Ordered,VCE Optical Lab,Fluvanna Correctional Center for Women 144 Prison Lane,Troy,VA,22974,8/20/2020,8/28/2020,8/28/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,FEA INDUSTRIES INC,"FEA INDUSTRIES, INC.",1 North Morton Avenue,Morton,PA,19070
0,12520,"Bindings, Comb Type, Plastic",14MM Black Coils - 100/per box - Job 30526/DCC,PCO2651938,1,10,21.253,212.53,212.53,Received,Virginia Correctional Enterprises - Headquarters,8030 White Bark Terrace,Richmond,VA,23237,3/4/2021,3/4/2021,3/4/2021,0,1,1,1,Routine,Supplies - Non-Technology,PCO,XL4U LLC,XLDESIGN4U,P.O. Box 458,Mechanicsville,VA,23111
0,60000,"OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES",Renewable HP 201A Cyan Toner (CF401A),A711_P098952974,39,6,37.5,225,225,Ordered,VCE Toner Cartridge Plant - Indian Creek,Indian Creek Correctional Center 801 Sanderson Road,Chesapeake,VA,23328,10/27/2020,10/27/2020,10/27/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,TURBON USA INC,TURBON USA INC,4 Executive Campus Ste 104,Cherry Hill,NJ,08002-4105
0,64500,"PAPER, FOR OFFICE AND PRINT SHOP USE","67# Vellum Bristol, Orchid, 8.5 x 11, 2,000/carton - Lot 8, Line 27 - APSPM Manuals",PCO2623582,3,2,39.47,78.94,78.94,Receiving,Virginia Correctional Enterprises - Headquarters,8030 White Bark Terrace,Richmond,VA,23237,11/1/2021,12/1/2020,12/1/2020,0,0,1,0,Routine,Supplies - Non-Technology,PCO,B W WILSON PAPER CO INC,B W WILSON PAPER CO INC-BWW,P.O. BOX 11248,Richmond,VA,23230
0,42554,"Modular Panel Systems, (With Metal Connecting Mechanism)",PNL FINISH UPGRD UPCHG TO GRADE C,A711_P098949906,1,8,13,104,104,Ordered,Virginia Correctional Enterprises - Distribution Center,8030 White Bark Terrace,Richmond,VA,23237,12/5/2019,11/15/2019,11/15/2019,0,0,0,0,Routine,Supplies - Non-Technology,EXT,BAY PRODUCT DEVELOPMENT LLC,BAY PRODUCT DEVELOPMENT LLC,1654 Morrow St,Green Bay,WI,54302
0,28712,Batteries and Hardware For Electronic Equipment (Including Recycled Types),"TK67043223T Coin Cell Battery, Battery Size 2025, Battery Chemistry Lithium, Voltage - Batteries 3V DC, Standard Battery Pack Size 1, Capacity - Batteries 170 mAh, Battery Cross-Reference 280-205, CR2025, DL2025, E-CR2025, ECR2025, KECR2025-1, NA, SB-T14,",PCO2795962,12,5,2.07,10.35,10.35,Ordered,Virginia Correctional Enterprises - Wood Plant,Nottoway Correctional Center 2892 Schutt Road,Burkeville,VA,23922,4/27/2022,4/27/2022,4/27/2022,0,0,0,0,Routine,Supplies - Non-Technology,PCO,W W GRAINGER INC,GRAINGER-ALL ORDERS,2424 Magnolia Ct,Richmond,VA,23223
0,62546,"Optical Components: Blanks, Domes, Filters, Lenses, Mirrors, Prisms, etc. (See Class 490 for Microscopes)",PROG EAGLET POLY     GF40477,A711_P098959132,4,1,40.95,40.95,40.95,Ordered,Virginia Correctional Enterprise - Optical Lab,Fluvanna Correctional Center for Women 144 Prison Lane,Troy,VA,22974,4/6/2021,6/14/2022,6/14/2022,0,0,0,0,Routine,Supplies - Non-Technology,EXT,FEA INDUSTRIES INC,"FEA INDUSTRIES, INC.",1 North Morton Avenue,Morton,PA,19070
0,42554,"Modular Panel Systems, (With Metal Connecting Mechanism)",ADA LEFT HAND DOOR PANEL 82H x 48W,A711_P098949225,1,2,533.8,1067.6,1067.6,Ordered,Virginia Correctional Enterprises - Distribution Center,8030 White Bark Terrace,Richmond,VA,23237,8/23/2019,8/30/2019,8/30/2019,0,0,0,0,Routine,Supplies - Non-Technology,EXT,BAY PRODUCT DEVELOPMENT LLC,BAY PRODUCT DEVELOPMENT LLC,1654 Morrow St,Green Bay,WI,54302
0,42521,"Desks and Tables, Wood",PWR UNIT 2OUTLET SRFC MNT GRMT 3PIN PLUG,A711_P098950394,16,3,166.25,498.75,498.75,Ordered,VCE Metal Plant - Buckingham Correctional Center,1349 Correctional Center Parkway State Route 20 - Goldmine Road,Dillwyn,VA,23936,11/1/2021,1/2/2020,1/2/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,DACO LIMITED PARTNERSHIP,NEW JERSEY OFFICE,100 Fulton Street,Boonton,NJ,7005
0,60000,"OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES",Renewable HP 201A Cyan Toner (CF401A),A711_P098950850,83,4,37.5,150,150,Ordered,VCE Toner Cartridge Plant - Indian Creek,Indian Creek Correctional Center 801 Sanderson Road,Chesapeake,VA,23328,12/28/2021,2/18/2020,2/18/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,TURBON USA INC,TURBON USA INC,4 Executive Campus Ste 104,Cherry Hill,NJ,08002-4105
0,26046,"Instruments and Devices (Endodontic, Orthodontic, Periodontal, and General Dental): Arches, Bands, Brackets, Curets, Files, Forceps, Mirrors, Points, Rasps, Reamers, Scalers (Hand), etc.",Articulator K-Brass Denture Full Arch Ea,PCO2532872,2,12,18.23,218.76,218.76,Receiving,VCE Dental Plant,Sussex I Correctional Center 24414 Musselwhite Drive,Waverly,VA,23891,4/14/2020,2/14/2020,2/14/2020,0,0,0,0,Routine,Supplies - Non-Technology,PCO,HENRY SCHEIN INC,MELVILLE NY HENRY SCHEIN INC,135 DURYEA RD E115,Melville,NY,11747
-21.75,20100,CLOTHING ACCESSORIES (SEE CLASS 800 FOR SHOES AND BOOTS),PORT & COMPANY - CORE BLEND TEE,A711_P098954399-V2,9,15,3.77,56.55,-21.75,Ordered,Virginia Correctional Enterprises - Headquarters,8030 White Bark Terrace,Richmond,VA,23237,10/24/2019,4/29/2021,4/29/2021,0,0,0,0,Routine,Supplies - Non-Technology,EXT,SAN MAR CORPORATION,PRESTON,22833 SE Black Nugget Rd Ste 130,Issaquah,WA,98029
0,62546,"Optical Components: Blanks, Domes, Filters, Lenses, Mirrors, Prisms, etc. (See Class 490 for Microscopes)",SV CR39 FIN 2.50/0.00,A711_P098952067,14,5,1.93,9.65,9.65,Ordered,VCE Optical Lab,Fluvanna Correctional Center for Women 144 Prison Lane,Troy,VA,22974,3/26/2020,6/23/2020,6/23/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,FEA INDUSTRIES INC,"FEA INDUSTRIES, INC.",1 North Morton Avenue,Morton,PA,19070
0,62546,"Optical Components: Blanks, Domes, Filters, Lenses, Mirrors, Prisms, etc. (See Class 490 for Microscopes)",SV CR39 FIN -0.75/-0.75,A711_P098952929,7,5,1.93,9.65,9.65,Ordered,VCE Optical Lab,Fluvanna Correctional Center for Women 144 Prison Lane,Troy,VA,22974,11/1/2021,10/21/2020,10/21/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,FEA INDUSTRIES INC,"FEA INDUSTRIES, INC.",1 North Morton Avenue,Morton,PA,19070
0,62546,"Optical Components: Blanks, Domes, Filters, Lenses, Mirrors, Prisms, etc. (See Class 490 for Microscopes)",UNCUT BIFOCAL FT28 POLY,A711_P098956995,8,1,19.95,19.95,19.95,Ordered,VCE Optical Lab,Fluvanna Correctional Center for Women 144 Prison Lane,Troy,VA,22974,12/7/2021,12/7/2021,12/7/2021,0,0,0,0,Routine,Supplies - Non-Technology,EXT,FEA INDUSTRIES INC,"FEA INDUSTRIES, INC.",1 North Morton Avenue,Morton,PA,19070
0,42034,Furnishings (Not Otherwise Classified),DIVI POST FILLER LINEAR 2 WAY 66 H,A711_P098952347,97,2,55.8,111.6,111.6,Ordered,Virginia Correctional Enterprises - Distribution Center,8030 White Bark Terrace,Richmond,VA,23237,9/4/2020,9/4/2020,9/4/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,BAY PRODUCT DEVELOPMENT LLC,BAY PRODUCT DEVELOPMENT LLC,1654 Morrow St,Green Bay,WI,54302
0,60000,"OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES",Renewable HP 507A Magenta Toner(CE403A),A711_P098950173-V2,15,6,60,360,0,Ordered,VCE Toner Cartridge Plant - Indian Creek,Indian Creek Correctional Center 801 Sanderson Road,Chesapeake,VA,23328,12/5/2019,12/5/2019,12/5/2019,0,0,0,0,Routine,Supplies - Non-Technology,EXT,TURBON USA INC,TURBON USA INC,4 Executive Campus Ste 104,Cherry Hill,NJ,08002-4105
0,10051,"Pumps, Drum","3BY41 HAND OPERATED DRUM PUMP, ROTARY BASIC PUMP WITH SPOUT",PCO2553709,1,2,96,192,192,Receiving,Sussex II Laundry,24427 Musselwhite Drive,Waverly,VA,23891,4/3/2020,4/3/2020,4/3/2020,0,0,0,0,Routine,Supplies - Non-Technology,PCO,W W GRAINGER INC,GRAINGER-ALL ORDERS,2424 Magnolia Ct,Richmond,VA,23223
0,60000,"OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES",Renewable HP 201A Yellow Toner (CF402A),A711_P098951008-V2,91,18,37.5,675,0,Ordered,VCE Toner Cartridge Plant - Indian Creek,Indian Creek Correctional Center 801 Sanderson Road,Chesapeake,VA,23328,3/5/2020,3/5/2020,3/5/2020,0,0,0,0,Routine,Supplies - Non-Technology,EXT,TURBON USA INC,TURBON USA INC,4 Executive Campus Ste 104,Cherry Hill,NJ,08002-4105
0,54544,Manufacturing and Processing Equipment (Not Otherwise Classified),LAM NVMR KONA BLEND SD.05X48X96,A711_P098957959-V2-2,7,800,1.34,1072,1072,Ordered,Virginia Correctional Enterprises - Wood Plant,Nottoway Correctional Center 2892 Schutt Road,Burkeville,VA,23922,6/17/2020,6/17/2022,6/17/2022,0,0,0,0,Routine,Supplies - Non-Technology,EXT,CH BRIGGS,C H BRIGGS,2047 Kutztown Rd,Reading,PA,19605-3025
0,85016,Cheesecloth,FAB MAYER SKETCH INDIGO,A711_P098956317,1,4,20.95,83.8,83.8,Ordered,Greensville Correctional Center,VCE Panel Assembly Plant - Lonnie Moore 901 Corrections Way,Jarratt,VA,23870,10/24/2019,9/24/2021,9/24/2021,0,0,0,0,Routine,Supplies - Non-Technology,EXT,MAYER-PAETZ INC,MAYER-PAETZ INC.,500 S Kitley Ave,Indianapolis,IN,46219
0,89046,Meter Reading Devices,NEWMAN ST TENSION METER 1E,PCO2549490,1,1,468,468,468,Ordered,VCE Tag Warehouse (Barry Boothe),Deep Meadow Correctional Center 029,State Farm,VA,23160,4/3/2020,3/24/2020,3/24/2020,0,0,0,0,Routine,Supplies - Non-Technology,PCO,NAZDAR,"4260 PEACHTREE INDUSTRIAL BLVD - NORCROSS, GA",4260 Peachtree Industrial Blvd,Norcross,GA,30071
0,54544,Manufacturing and Processing Equipment (Not Otherwise Classified),LAM PNTE TRYTOO SAVATRE .05X48X96 (32sf),A711_P098954596,1,928,1.2,1113.6,1113.6,Ordered,VCE Metal Plant - Buckingham Correctional Center,1349 Correctional Center Parkway State Route 20 - Goldmine Road,Dillwyn,VA,23936,3/4/2021,4/30/2021,4/30/2021,0,0,0,0,Routine,Supplies - Non-Technology,EXT,CH BRIGGS,C.H. BRIGGS,PO BOX 15188,Reading,PA,19612
0,20772,"Printer Accessories and Supplies: Chemicals, Forms Tractors, Inks and Cartridges, Paper, Label Sheets, Sheet Feeders, Toner Cartridges, Wheels, etc.","HP 933XL, (CN055AN) High Yield Magenta Original Ink Cartridge",PCO2480968,2,2,18.48,36.96,36.96,Received,Virginia Correctional Enterprises - Headquarters,8030 White Bark Terrace,Richmond,VA,23237,9/22/2021,10/3/2019,10/3/2019,0,1,1,0,Routine,Supplies - Non-Technology,PCO,THE SUPPLY ROOM COMPANIES,SUPPLY ROOM COMPANIES INC/RICHMOND,PO BOX 1810,Ashland,VA,23005
-82.55,20070,"Shirts, Dress and Casual",37 ITEMS TO FILL CUSTOMER ORDERS-  PLEASE SEE ATTACHMENT FOR ITEMIZATION,PCO2521976-V2,1,1,402.8,402.8,-82.55,Received,VCE Clothing Plant - Haynesville,Haynesville Correctional Center Route 650 Barnfield Road,Haynesville,VA,22472,2/2/2022,2/20/2020,2/20/2020,0,0,0,0,Routine,Supplies - Non-Technology,PCO,SAN MAR CORPORATION,PRESTON,22833 SE Black Nugget Rd Ste 130,Issaquah,WA,98029
