NIGP.Description,Total,SWaM_Likely,Likelihood
ABRASIVES,1,1,1.0
"Lifts and Hoists, Maintenance and Repair",22,22,1.0
"Milling Services: Asphalt, Grain, Cottonseed, Vegetable, Wood, etc.",9,9,1.0
Material Handling Equipment Maintenance and Repair,2,2,1.0
"Maintenance and Repair, Industrial Building",12,12,1.0
"Mailing Services (Includes, Addressing, Collating, Packaging, Sorting and Delivery)",40,40,1.0
Machinery and Heavy Hardware (Not Lawn Equipment) Maintenance and Repair,2,2,1.0
"Machine Shop and Fabricating Services, Industrial (See 928-54 for Automotive Type)",2,2,1.0
"Machine Repair Tools, Office",28,28,1.0
MISCELLANEOUS PRODUCTS (NOT OTHERWISE CLASSIFIED),4,4,1.0
"Lumber, Treated: Creosote, Penta, Wolmanized, etc.",1,1,1.0
Locks and Keys,1,1,1.0
"Lighting Fixtures, Indoor: All Kinds and Parts (Including Lampholders and Recycled Types)",1,1,1.0
AIR COMPRESSORS AND ACCESSORIES,14,14,1.0
Lifting and Loading Equipment and Accessories (Not Otherwise Classified),9,9,1.0
"Diagnostic Equipment, Electronic (Not Otherwise Itemized)",3,3,1.0
"Levels, Chalk Lines, Chalk Line Refills, etc.",1,1,1.0
Legal Books and Publications,1,1,1.0
"Laminating Presses, Film, ID Pouches, and Supplies",5,5,1.0
Laboratory and Field Testing Services (Not Otherwise Classified) Incl. Hazardous Waste,3,3,1.0
"Labels, Reinforcements, Seals, etc. (Not Printed); and Sealing Wax, Environmentally Certified Products",2,2,1.0
"LEATHER AND SHOE ACCESSORIES, EQUIPMENT, AND SUPPLIES",1,1,1.0
"Keyboard Dust Covers, Key Top Covers, Keyboard Drawers, Wrist Supports, etc.",7,7,1.0
Janitorial/Custodial Services,12,12,1.0
"Jacks, Industrial: Hydraulic, Screw, and Track",1,1,1.0
Inspection and Certification Services,2,2,1.0
"Hose, General Purpose",1,1,1.0
"Hose and Hose Fittings: Brake, Heater, Radiator, Vacuum, Washer, Wiper, etc.",2,2,1.0
"Mineral Wool: Blankets, Blocks, Boards",1,1,1.0
Miscellaneous Brushes (Not Otherwise Classified),4,4,1.0
"Moisteners, Sanitary; and Rubber Finger Tips (Incl. Sheet Lifters)",10,10,1.0
