vendor_name,import_year,total_spend,num_transactions,num_categories,mean_approval_delay,mean_fulfillment_delay,anomaly_score,is_anomaly,pca_1,pca_2
058731095,2018,130900.0,2,2,1.5,78.0,0.13938423706416425,False,-0.35678091046203775,0.06414507984059767
1 ADVANCED ENTERPRISES LLC,2021,66.55000000000001,2,2,0.5,6.0,0.19438832261393368,False,-0.23858750135766849,-0.7474568927695214
11400 INC,2019,5495.0,2,2,1.0,44.0,0.1979922267398621,False,-0.3039931835195846,-0.3374054558491525
11400 INC,2020,8500.0,1,1,5.0,55.0,0.17688853756910772,False,-0.4689626137176201,0.5772567194335708
1ST CHOICE SHREDDING,2020,3005.0,4,1,3.25,208.5,0.10789509288956012,False,-0.6105667951544044,1.4490748168040655
1ST CHOICE SHREDDING,2022,2490.0,2,1,0.5,0.0,0.1891473781283306,False,-0.2766343932491364,-0.799370191407914
2 PROCUREMENT LLC,2020,4144.150000000001,5,8,3.1,29.7,0.18152032399046641,False,-0.009387735910999328,0.01382478200876551
22ND CENTURY TECHNOLOGIES,2020,223882.12,7,1,5.714285714285714,79.0,0.07007407810396749,False,-0.4267256078380959,0.969629637393758
22ND CENTURY TECHNOLOGIES INC,2022,339365.45,8,2,4.818181818181818,0.0,0.07404738625976759,False,-0.22650048605838444,0.17760166359996843
3 G FOODSERVICE,2017,303.74,1,1,3.0,27.0,0.19870128279237892,False,-0.38464090856834016,-0.06486294389058693
3 G FOODSERVICE,2018,517.04,2,2,0.5,25.0,0.1946466280221098,False,-0.2658474479478574,-0.5948432864934745
3 G FOODSERVICE,2019,17.5,2,2,1.5,23.0,0.20478493881237797,False,-0.2852942275430791,-0.4031302771128237
360 INTEGRATED SERVICESOLUTIONS360IS2LLC,2019,121.4,1,2,1.0,390.0,0.05156220251505972,False,-0.814569918322767,2.4376218881141285
4IMPRINT INC,2018,258.44,1,2,2.0,13.0,0.2025665681319529,False,-0.2954455766396182,-0.380900816238979
623 LANDFILL INC,2021,15241.0246,3,2,0.6666666666666666,3.5,0.18868239495613043,False,-0.22446206168944396,-0.7284204800917828
A F DAULTON SUPPLY,2016,467.28000000000003,2,2,0.0,30.5,0.19486045667453977,False,-0.2626036343572591,-0.6546344024715843
A F DAULTON SUPPLY,2017,9.45,1,1,4.0,14.0,0.1945357713917638,False,-0.3882789127431272,0.03858653348701022
A M DAVIS INC,2018,5206.8,2,2,2.0,28.0,0.20353976310721955,False,-0.3033225615843274,-0.2580376679157035
A M DAVIS INC,2019,5448.98,5,2,3.75,22.0,0.18949708997040815,False,-0.29355752387044887,0.062035545546154
A M DAVIS INC,2020,2618.67,5,2,0.7142857142857143,9.142857142857142,0.19211711106207452,False,-0.2075885107940501,-0.6727573105638757
A M DAVIS INC,2021,3596.5,4,1,2.142857142857143,2.6666666666666665,0.19767761636965558,False,-0.29025862481915554,-0.43330046827639607
A M DAVIS INC,2022,3752.1,7,1,2.0,0.0,0.19776765702273902,False,-0.24309308288227588,-0.47994725009324624
A1 ASPHALT PAVING & SEALING LLC,2019,74813.94,1,1,12.0,1.0,0.051659900675787296,False,-0.5436468435404843,1.6118803338483974
AAA OSHA TRAINING & SAFETY CONSULTANTS I,2020,750.0,1,1,1.0,28.0,0.20305739538011586,False,-0.3414707438229682,-0.47248063734260404
AAM SUPPLY LLC,2016,1274.46,4,5,0.8333333333333334,18.0,0.1936844488950175,False,-0.09601284925516176,-0.5659756299277223
AAM SUPPLY LLC,2017,207.05,2,2,0.0,63.0,0.18578013351178896,False,-0.3092915462940923,-0.3937876600131351
AARON MONTGOMERY,2017,3800.0,1,1,4.0,0.0,0.18903848627631376,False,-0.3679564544215418,-0.07305435220945004
ABACUS OFFICE SOLUTIONS LLC,2016,575.22,10,13,6.315789473684211,23.7,0.0938849105058368,False,0.22825925609697378,0.6619086556234952
ABACUS OFFICE SOLUTIONS LLC,2017,770.24,6,4,1.5714285714285714,23.142857142857142,0.2018573163832743,False,-0.13992023220467167,-0.3726391095484322
ABACUS OFFICE SOLUTIONS LLC,2018,284.42,2,5,1.2857142857142858,34.285714285714285,0.1916503134716968,False,-0.15630289631383623,-0.34434979069807026
ABACUS OFFICE SOLUTIONS LLC,2019,524.67,1,6,4.0,130.0,0.12496293405850045,False,-0.32082467210281795,0.9910150293375308
ABACUS OFFICE SOLUTIONS LLC,2021,167.1,2,2,0.0,11.0,0.19706150268309403,False,-0.2346170301442456,-0.8112322446004123
ABATEMENT TECHNOLOGIES INC,2020,25969.790399999998,2,2,0.0,204.0,0.10583628376016924,False,-0.5103045999312541,0.7431777971302721
ABBOTT FARM SUPPLIERS INC,2020,95.71000000000001,1,2,1.0,1.0,0.19708901593569383,False,-0.25593144557055975,-0.6851309606329872
ABILITY2ACCESS,2021,6165.0,1,1,1.0,11.0,0.20356334921069047,False,-0.3167469418060405,-0.6078847430987366
ACCESS OFFICE PRODUCTS LLC,2016,700.31,7,7,2.2857142857142856,104.5,0.14956068773508008,False,-0.11889451915162388,0.44307644468624496
ACCESS OFFICE PRODUCTS LLC,2017,1190.46,14,19,1.8076923076923077,16.833333333333332,0.1427517022387581,False,0.6729800608686323,-0.29892971245384087
ACCESS OFFICE PRODUCTS LLC,2018,11730.53,69,60,1.9829545454545454,74.98125,-0.015902397970541937,True,3.241015030971093,0.46068876343851917
ACCESS OFFICE PRODUCTS LLC,2019,5682.12,37,38,1.2345679012345678,60.111111111111114,0.05382999771751229,False,1.8208659219943173,0.044426480661541486
ACCESS OFFICE PRODUCTS LLC,2020,18058.739999999998,58,55,1.4268292682926829,14.121212121212121,0.042027056869104906,False,2.959973055059899,-0.17957411708825982
ACCESS OFFICE PRODUCTS LLC,2021,5202.54,31,24,2.101449275362319,13.954545454545455,0.10739577929315536,False,1.1322829920715238,-0.21399161214089538
ACCRUENT,2020,127050.0,1,1,4.0,2.0,0.14642279749119774,False,-0.3637675141450626,-0.03274531101603041
ACCRUENT LLC,2018,5077.76,1,1,2.0,7.0,0.2010932062494093,False,-0.3333552065615223,-0.4323426429897018
